Part/Designator,MPN,Qty
"C6, C9, C10, C11",CC0402KRX7R8BB104,4
"R1, R2, R10",RC0402JR-0710KL,3
C12,CC0603JRNPO9BN100,1
Y1,X053201602002,1
"R5, R8",RC0402JR-071KL,2
"C1, C2, C3, C4, C5, C7, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34",CC0402KRX5R6BB105,26
"R4, R11",RC0603JR-0722RL,2
C14,TAJA226*010#NJ,1
J4,P125-12A1BS116A1,1
L1,BLM21PG331SN1D,1
C13,CC0603CRNPO9BN4R7,1
"R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53",RC0603JR-07510RL,42
"Z1, Z2",CG0603MLC-05E,2
D2,CD1206-S01575,1
U1,ATMEGA32U4,1
ON,EL-17-215/BHC-AN1P2/3T,1
K1,DTSM-62K-S-V-T/R(SN431),1
L,17-215SYGC/S530-E2/TR8,1
U4,LP2985-33DBVR,1
F1,MF-MSMF050-2,1
"U2, U3, U5","PCA9547D,112",3
"IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC17, IC18, IC19, IC20, IC21",SI1145-A10-GMR,20
USB1,ST-USB-013A,1
